Title,Available_OS,Month,Day,Year,Current_Price,Original_Price,Discount_Percentage,Review_Status,Percentage_Positive_Reviews,Reviewer_Count,Game_Tags
ONE PIECE: PIRATE WARRIORS 4,"['win', '', '']",Mar,26,2020,59.99,,,Very Positive,81,667,"['Action', 'Anime', 'Co-op', 'Online Co-Op', 'Fighting', ""Beat 'em up"", 'Multiplayer']"
Unbound: Worlds Apart Prologue,"['win', '', '']",Mar,26,2020,,,,Very Positive,98,57,"['Free to Play', 'Indie', 'Singleplayer', 'Platformer', 'Metroidvania', 'Open World', 'Story Rich']"
One Step From Eden,"['win', 'mac', 'linux']",Mar,26,2020,19.99,,,Very Positive,92,255,"['Action', 'Strategy', 'Indie', 'Adventure', 'Deckbuilding', 'Roguelite', 'Great Soundtrack']"
Last Oasis,"['win', '', '']",Mar,26,2020,24.89,29.99,-17%,Mixed,55,3732,"['Massively Multiplayer', 'Action', 'Survival', 'RPG', 'Adventure', 'Open World', 'Indie']"
Cities: Skylines - Sunset Harbor,"['win', 'mac', 'linux']",Mar,26,2020,14.99,,,Mixed,58,174,"['Strategy', 'Simulation', 'City Builder', 'Management']"
Idle Champions of the Forgotten Realms,"['win', 'mac', '']",Mar,25,2020,,,,Very Positive,83,5522,"['Idler', 'Clicker', 'Free to Play', 'Dungeons & Dragons', 'Early Access', 'Strategy', 'Adventure']"
Half-Life: Alyx,"['win', '', '']",Mar,23,2020,59.99,,,Overwhelmingly Positive,98,12912,"['Masterpiece', 'Action', 'VR', 'Adventure', 'Female Protagonist', 'Atmospheric', 'Story Rich']"
DOOM Eternal,"['win', '', '']",Mar,19,2020,59.99,,,Very Positive,91,29151,"['Action', 'Masterpiece', 'Gore', 'FPS', 'Great Soundtrack', 'Violent', 'Demons']"
Resident Evil 3: Raccoon City Demo,"['win', '', '']",Mar,19,2020,,,,Very Positive,92,7796,"['Action', 'Gore', 'Violent', 'Survival Horror', 'Zombies', 'Horror', 'Remake']"
There is no game : Jam Edition 2015,"['win', 'mac', '']",Mar,18,2020,,,,Very Positive,96,339,"['Casual', 'Indie', 'Adventure', 'Free to Play', 'Comedy', 'Funny', 'Pixel Graphics']"
Stellaris: Federations,"['win', 'mac', 'linux']",Mar,17,2020,19.99,,,Mostly Positive,73,587,"['Strategy', 'Simulation', 'Space']"
Borderlands 3,"['win', '', '']",Mar,13,2020,59.99,,,Very Positive,80,17807,"['RPG', 'Action', 'Online Co-Op', 'Looter Shooter', 'Shooter', 'Co-op Campaign', 'Gore']"
Bombergrounds: Battle Royale,"['win', '', '']",Mar, 6,2020,,,,Very Positive,91,1233,"['Free to Play', 'Massively Multiplayer', 'Strategy', 'Action', 'Indie', 'Cute', 'Early Access']"
"Mýrdalssandur, Iceland","['win', '', '']",Mar, 6,2020,,,,Very Positive,92,495,"['Free to Play', 'Casual', 'Adventure', 'Simulation', 'Indie', 'Walking Simulator', 'VR']"
Walking Simulator,"['win', '', '']",Mar, 5,2020,,,,Very Positive,87,2033,"['Free to Play', 'Simulation', 'Indie', 'Adventure', 'Walking Simulator', 'Multiplayer', 'Masterpiece']"
Isle of Ewe,"['win', '', '']",Mar, 2,2020,,,,Very Positive,89,197,"['Free to Play', 'Indie', 'Adventure', 'Puzzle', '3D Platformer', 'Multiplayer', 'Puzzle Platformer']"
Warzone 2100,"['win', '', '']",Feb,18,2020,,,,Very Positive,94,315,"['Strategy', 'Free to Play', 'RTS', 'War', 'Base Building', 'Real Time Tactics', 'Futuristic']"
I Wanna Maker,"['win', '', '']",Feb,13,2020,,,,Overwhelmingly Positive,96,752,"['Free to Play', 'Indie', 'Early Access', 'Level Editor', 'Precision Platformer', '2D Platformer', 'Platformer']"
Kill or Love,"['win', 'mac', 'linux']",Feb, 7,2020,,,,Very Positive,89,572,"['Free to Play', 'Visual Novel', 'Psychological Horror', 'Casual', 'Indie', 'Anime', 'Romance']"
Moe Era,"['win', 'mac', 'linux']",Feb, 4,2020,,,,Very Positive,86,1418,"['Free to Play', 'Visual Novel', 'Sexual Content', 'Anime', 'Indie', 'Nudity', 'Casual']"
Split or Steal,"['win', '', '']",Jan,31,2020,,,,Very Positive,84,834,"['Free to Play', 'Casual', 'Simulation', 'Idler', 745697, 'Multiplayer']"
Darwin Project,"['win', '', '']",Jan,13,2020,,,,Very Positive,81,15820,"['Battle Royale', 'Multiplayer', 'Survival', 'Action', 'PvP', 'Early Access', 'Indie']"
Coloring Game 2,"['win', '', '']",Jan,10,2020,,,,Overwhelmingly Positive,96,982,"['Free to Play', 'Casual', 'Indie', 'Pixel Graphics', 'Design & Illustration', 'Great Soundtrack', 'Colorful']"
Monster Hunter World: Iceborne,"['win', '', '']",Jan, 9,2020,29.99,39.99,-25%,Mixed,45,9662,"['Action', 'Multiplayer', 'Co-op', 'Hunting', 'Open World', 'Difficult', 'Masterpiece']"
PROP AND SEEK,"['win', '', '']",Jan, 7,2020,,,,Very Positive,85,127,"['Casual', 'Action', 'Strategy', 'Massively Multiplayer', 'Early Access', 'Multiplayer']"
Pixel Studio for pixel art,"['win', '', '']",Dec,24,2019,,,,Very Positive,96,262,"['Animation & Modeling', 'Design & Illustration', 'Game Development', 'Pixel Graphics', 'Photo Editing', 'Free to Play', 'Software']"
Pool 2D - Poolians,"['win', '', '']",Dec,10,2019,,,,Very Positive,80,410,"['Free to Play', 'Massively Multiplayer', 'Simulation', 'Casual', 'Indie', 'Sports', 'Pool']"
Destiny 2: Upgrade Edition,"['win', '', '']",Dec,10,2019,49.99,,,Mixed,57,2595,"['Adventure', 'Action', 'Multiplayer', 'First-Person', 'MMORPG', 'FPS', 'Shooter']"
Red Dead Redemption 2,"['win', '', '']",Dec, 5,2019,59.99,,,Mostly Positive,72,62964,"['Adventure', 'Action', 'Open World', 'Masterpiece', 'Western', 'Story Rich', 'Multiplayer']"
Paunch,"['win', '', '']",Dec, 4,2019,,,,Very Positive,86,3821,"['Masterpiece', 'Sexual Content', 'Free to Play', 'Nudity', 'Psychological Horror', 'Multiplayer', 'Funny']"
Halo: The Master Chief Collection,"['win', '', '']",Dec, 3,2019,39.99,,,Very Positive,91,70905,"['Masterpiece', 'Great Soundtrack', 'FPS', 'Classic', 'Multiplayer', 'Story Rich', 'Sci-fi']"
Age of Empires II: Definitive Edition,"['win', '', '']",Nov,14,2019,19.99,,,Very Positive,90,32248,"['Strategy', 'RTS', 'Multiplayer', 'Historical', 'Medieval', 'Singleplayer', 'City Builder']"
Marbles on Stream,"['win', '', '']",Nov, 6,2019,,,,Very Positive,80,269,"['Free to Play', 'Racing', 'Simulation', 'Massively Multiplayer', 'Casual']"
Sinking Simulator,"['win', '', '']",Oct,23,2019,,,,Very Positive,82,764,"['Free to Play', 'Simulation', 'Indie', 'Casual', 'Sandbox', 'Destruction', 'Physics']"
Hello Neighbor Alpha 4,"['win', '', '']",Oct,19,2019,,,,Very Positive,87,377,"['Adventure', 'Indie', 'Strategy', 'Free to Play', 'Horror']"
The Jackbox Party Pack 6,"['win', 'mac', 'linux']",Oct,16,2019,29.99,,,Overwhelmingly Positive,95,571,"['Trivia', 'Casual', 'Indie', 'Funny', 'Multiplayer', 'Local Multiplayer', 'Comedy']"
Hello Neighbor Alpha 2,"['win', '', '']",Oct,15,2019,,,,Very Positive,95,256,"['Indie', 'Adventure', 'Strategy', 'Free to Play', 'Horror', 'Multiplayer']"
Walking Zombie 2,"['win', '', '']",Oct,11,2019,,,,Very Positive,86,2715,"['Action', 'RPG', 'Indie', 'Adventure', 'Multiplayer', 'Zombies', 'Survival']"
Legend of Keepers: Prologue,"['win', 'mac', 'linux']",Oct,10,2019,,,,Very Positive,94,2053,"['Free to Play', 'RPG', 'Strategy', 'Indie', 'Turn-Based', 'Roguelite', 'Dungeon Crawler']"
Armajet,"['win', 'mac', '']",Oct, 8,2019,,,,Very Positive,84,383,"['Action', 'Violent', 'Gore', 'eSports', 'Team-Based', 'Free to Play']"
War Selection,"['win', '', '']",Oct, 8,2019,,,,Very Positive,89,4559,"['Strategy', 'Free to Play', 'RTS', 'Massively Multiplayer', 'Base Building', 'Multiplayer', 'Indie']"
NGU IDLE,"['win', '', '']",Oct, 1,2019,,,,Overwhelmingly Positive,96,2848,"['Free to Play', 'Indie', 'Adventure', 'Clicker', 'Idler', 'Funny', 'Simulation']"
Firestone Idle RPG,"['win', 'mac', 'linux']",Sep,26,2019,,,,Very Positive,82,1692,"['Free to Play', 'RPG', 'Clicker', 'Indie', 'Adventure', 'Early Access', 'Idler']"
Poker Championship,"['win', 'mac', '']",Sep,25,2019,,,,Very Positive,82,179,"['Free to Play', 'Indie', 'Massively Multiplayer', 'Sports', 'Gambling', 'Card Game', 'Multiplayer']"
"I Love You, Colonel Sanders! A Finger Lickin’ Good Dating Simulator","['win', 'mac', '']",Sep,24,2019,,,,Very Positive,93,7325,"['Masterpiece', 'Dating Sim', 'Anime', 'Visual Novel', 'Beautiful', 'Cult Classic', 'Free to Play']"
Maelstrom,"['win', '', '']",Sep,20,2019,,,,Very Positive,82,2081,"['Free to Play', 'Action', 'Massively Multiplayer', 'Indie', 'Strategy', 'Simulation', 'Naval']"
Mythgard,"['win', 'mac', '']",Sep,18,2019,,,,Very Positive,88,656,"['Strategy', 'Free to Play', 'Card Game', 'Early Access', 'Indie', 'Trading Card Game', 'Deckbuilding']"
Territory Idle,"['win', '', '']",Sep,10,2019,,,,Very Positive,82,817,"['Free to Play', 'Idler', 'Clicker', 'Strategy', 'Indie', 'Singleplayer', 'Early Access']"
GreedFall,"['win', '', '']",Sep, 9,2019,29.99,49.99,-40%,Very Positive,80,6678,"['RPG', 'Singleplayer', 'Open World', 'Character Customization', 'Choices Matter', 'Third Person', 'Adventure']"
Rise of Legions,"['win', '', '']",Aug,30,2019,,,,Very Positive,81,1248,"['Free to Play', 'Strategy', 'Multiplayer', 'Card Game', 'RTS', 'MOBA', 'Tower Defense']"
Gravitas,"['win', '', '']",Aug,23,2019,,,,Overwhelmingly Positive,97,2363,"['Free to Play', 'Indie', 'Puzzle', 'Adventure', 'Puzzle Platformer', 'First-Person', 'Singleplayer']"
Warfork,"['win', 'mac', 'linux']",Aug,16,2019,,,,Very Positive,89,980,"['Free to Play', 'Action', 'Arena Shooter', 'Indie', 'FPS', 'Early Access', 'Multiplayer']"
UNDEFEATED,"['win', '', '']",Aug, 2,2019,,,,Very Positive,92,2787,"['Free to Play', 'Action', 'Superhero', 'Open World', 'Indie', 'Multiplayer', 'Singleplayer']"
Battle Grounds III,"['win', '', '']",Jun,30,2019,,,,Very Positive,82,1465,"['Free to Play', 'Historical', 'Action', 'Indie', 'Violent', 'Multiplayer', 'Early Access']"
Totally Reliable Delivery Service Beta,"['win', 'mac', '']",Jun,24,2019,,,,Very Positive,90,2581,"['Action', 'Indie', 'Multiplayer', 'Co-op', 'Funny', 'Free to Play', 'Physics']"
Dota Underlords,"['win', 'mac', 'linux']",Jun,20,2019,,,,Very Positive,84,81405,"['Free to Play', 'Strategy', 'Casual', 'Auto Battler', 'Multiplayer', 'Tactical', 'Turn-Based Tactics']"
OCTOPATH TRAVELER™,"['win', '', '']",Jun, 7,2019,29.99,59.99,-50%,Very Positive,83,3132,"['RPG', 'Story Rich', 'JRPG', 'Singleplayer', 'Turn-Based', 'Pixel Graphics', 'Strategy']"
Minion Masters,"['win', 'mac', '']",May,24,2019,,,,Very Positive,92,44940,"['Free to Play', 'Strategy', 'Deckbuilding', 'Multiplayer', 'Card Game', 'Action', 'Indie']"
Himno,"['win', 'mac', 'linux']",Apr,26,2019,,,,Very Positive,92,3080,"['Free to Play', 'Indie', '2D', 'Pixel Graphics', 'Platformer', 'Great Soundtrack', 'Casual']"
The Lord of the Rings: Journeys in Middle-earth,"['win', 'mac', '']",Apr,18,2019,,,,Very Positive,86,205,"['Adventure', 'RPG', 'Strategy', 'Board Game', 'Free to Play']"
KARDS - The WWII Card Game,"['win', '', '']",Apr,12,2019,,,,Very Positive,87,4098,"['Card Game', 'World War II', 'Free to Play', 'Strategy', 'Indie', 'Casual', 'Early Access']"
Coloring Game,"['win', '', '']",Apr,12,2019,,,,Very Positive,93,2737,"['Free to Play', 'Relaxing', 'Pixel Graphics', 'Casual', 'Singleplayer', 'Indie', 'Colorful']"
Warplanes: WW2 Dogfight,"['win', 'mac', 'linux']",Apr, 6,2019,,,,Very Positive,80,505,"['Free to Play', 'World War II', 'Action', 'Indie', 'Flight', 'Simulation', 'Multiplayer']"
Blush Blush,"['win', 'mac', 'linux']",Apr, 4,2019,,,,Very Positive,89,1885,"['Free to Play', 'Dating Sim', 'Clicker', 'Anime', 'Casual', 'Romance', 'Sexual Content']"
Super Jigsaw Puzzle: Generations,"['win', '', '']",Apr, 4,2019,,,,Very Positive,92,258,"['Casual', 'Free to Play', 'Indie', 'Strategy', 'Puzzle', 'Relaxing', 'Singleplayer']"
Drunken Wrestlers 2,"['win', '', '']",Apr, 1,2019,,,,Very Positive,88,3140,"['Free to Play', 'Fighting', 'Multiplayer', 'Action', 'Physics', 'Early Access', 'Sports']"
Black Survival / 黑色幸存者,"['win', '', '']",Mar,19,2019,,,,Very Positive,80,2982,"['Free to Play', 'Survival', 'Strategy', 'Anime', 'Indie', 'Battle Royale', 'Multiplayer']"
Slapshot,"['win', 'mac', '']",Mar, 8,2019,,,,Very Positive,84,1847,"['Free to Play', 'Sports', 'Indie', 'Hockey', 'Multiplayer', 'Co-op']"
Enderal: Forgotten Stories,"['win', '', '']",Feb,14,2019,,,,Very Positive,93,5869,"['RPG', 'Adventure', 'Story Rich', 'Open World', 'Singleplayer', 'Free to Play', 'Fantasy']"
Wizard And Minion Idle,"['win', '', '']",Feb, 7,2019,,,,Very Positive,91,339,"['RPG', 'Clicker', 'Free to Play', 'Singleplayer', 'Strategy', 'Casual']"
RESIDENT EVIL 2 / BIOHAZARD RE:2 Deluxe Edition,"['win', '', '']",Jan,24,2019,24.99,49.99,-50%,Overwhelmingly Positive,97,38289,"['Action', 'Zombies', 'Survival Horror', 'Horror', 'Remake', 'Singleplayer', 'Third Person']"
Idle Wizard,"['win', 'mac', 'linux']",Jan,24,2019,,,,Very Positive,86,577,"['Idler', 'Free to Play', 'Casual', 'Clicker', 'RPG']"
SYNTHETIK: Arena,"['win', '', '']",Jan,21,2019,,,,Very Positive,89,1206,"['Free to Play', 'Action', 'Indie', 'Multiplayer', 'Top-Down Shooter', 'Co-op', 'Roguelike']"
Bloons Adventure Time TD,"['win', 'mac', '']",Jan,16,2019,,,,Very Positive,85,678,"['Action', 'Strategy', 'Tower Defense', 'Free to Play', 'Family Friendly', 'Cartoon', 'Singleplayer']"
Tailor Tales,"['win', '', '']",Jan, 9,2019,,,,Very Positive,94,239,"['Free to Play', 'Simulation', 'Casual', 'Visual Novel', 'Otome', 'Romance', 'Female Protagonist']"
SpedV,"['win', '', '']",Dec,26,2018,,,,Very Positive,80,166,"['Simulation', 'Free to Play']"
Cell to Singularity - Evolution Never Ends,"['win', 'mac', '']",Dec,12,2018,,,,Very Positive,88,3803,"['Clicker', 'Free to Play', 'Simulation', 'Science', 'Casual', 'Early Access', 'Historical']"
Prime World: Defenders 2,"['win', '', '']",Nov,29,2018,,,,Very Positive,80,1253,"['Free to Play', 'Tower Defense', 'Strategy', 'Massively Multiplayer', 'Card Game', 'Tactical', 'Singleplayer']"
Supply Chain Idle,"['win', 'mac', 'linux']",Nov, 9,2018,,,,Very Positive,80,192,"['Free to Play', 'Casual', 'Idler', 'Clicker', 'Management']"
PokerStars VR,"['win', '', '']",Nov, 8,2018,,,,Very Positive,88,864,"['Free to Play', 'Casual', 'Strategy', 'VR', 'Early Access', 'Card Game', 'Gambling']"
Driver Booster for Steam,"['win', '', '']",Nov, 1,2018,,,,Very Positive,83,1045,['Utilities']
RimWorld,"['win', 'mac', 'linux']",Oct,17,2018,34.99,,,Overwhelmingly Positive,98,56614,"['Colony Sim', 'Base Building', 'Survival', 'Strategy', 'Sandbox', 'Management', 'Building']"
The Jackbox Party Pack 5,"['win', 'mac', 'linux']",Oct,16,2018,29.99,,,Very Positive,88,544,"['Casual', 'Local Multiplayer', 'Trivia', 'Comedy', 'Funny', 'Multiplayer', 'Strategy']"
Dark Deception,"['win', '', '']",Sep,26,2018,,,,Very Positive,92,2913,"['Horror', 'Free to Play', 'Indie', 'First-Person', 'Adventure', 'Action', 'Runner']"
Pummel Party,"['win', '', '']",Sep,20,2018,9.89,14.99,-34%,Very Positive,90,6412,"['Multiplayer', 'Funny', '4 Player Local', 'Board Game', 'Casual', 'Online Co-Op', 'Indie']"
Cube Escape: Paradox,"['win', 'mac', '']",Sep,20,2018,,,,Overwhelmingly Positive,97,3006,"['Puzzle', 'Free to Play', 'Point & Click', 'Indie', 'Adventure', 'Psychological Horror', 'Singleplayer']"
HD Poker: Texas Hold'em,"['win', '', '']",Sep,14,2018,,,,Very Positive,83,850,"['Free to Play', 'Casual', 'Simulation', 'Strategy', 'Massively Multiplayer', 'Sports', 'Gambling']"
东方大战争 ~ Touhou Big Big Battle,"['win', 'mac', '']",Sep,10,2018,,,,Very Positive,81,2404,"['Early Access', 'Strategy', 'Indie', 'Casual', 'Massively Multiplayer', 'Action', 'Anime']"
Coloring Pixels,"['win', 'mac', '']",Aug,17,2018,,,,Overwhelmingly Positive,96,2632,"['Free to Play', 'Pixel Graphics', 'Relaxing', 'Casual', 'Singleplayer', 'Indie', 'Colorful']"
MONSTER HUNTER: WORLD,"['win', '', '']",Aug, 9,2018,19.79,29.99,-34%,Very Positive,81,137193,"['Co-op', 'Multiplayer', 'Action', 'Open World', 'RPG', 'Third Person', 'Character Customization']"
MilMo,"['win', 'mac', '']",Aug, 2,2018,,,,Very Positive,81,345,"['Free to Play', 'Massively Multiplayer', 'RPG', 'Adventure', 'Action', 'Cartoon', 'Multiplayer']"
Stoneshard: Prologue,"['win', '', '']",Jun, 5,2018,,,,Very Positive,89,3080,"['RPG', 'Adventure', 'Indie', 'Free to Play', 'Dungeon Crawler', 'Action Roguelike', 'Roguelike']"
Battle for Wesnoth,"['win', 'mac', 'linux']",May, 1,2018,,,,Very Positive,93,2078,"['Free to Play', 'Strategy', 'Turn-Based Strategy', 'Hex Grid', 'Indie', 'Fantasy', 'Turn-Based']"
Zero-K,"['win', '', '']",Apr,27,2018,,,,Very Positive,93,1520,"['Free to Play', 'Strategy', 'Indie', 'Simulation', 'RTS', 'Multiplayer', 'Real-Time']"
DeoVR Video Player,"['win', '', '']",Apr,24,2018,,,,Very Positive,82,180,"['Utilities', 'Video Production', 'VR', '360 Video']"
Holyday City: Reloaded,"['win', 'mac', 'linux']",Apr,23,2018,,,,Very Positive,82,1241,"['Free to Play', 'Clicker', 'Casual', 'Simulation', 'Indie', 'Strategy', 'Singleplayer']"
Friday the 13th: Killer Puzzle,"['win', 'mac', '']",Apr,12,2018,,,,Very Positive,94,3922,"['Free to Play', 'Puzzle', 'Horror', 'Gore', 'Violent', 'Casual', 'Blood']"
AirMech Strike,"['win', '', '']",Mar,30,2018,,,,Very Positive,84,9521,"['Free to Play', 'Strategy', 'Multiplayer', 'Mechs', 'MOBA', 'RTS', 'Action']"
Spellsworn,"['win', '', '']",Mar,13,2018,,,,Very Positive,88,1001,"['Magic', 'Free to Play', 'Action', 'Indie', 'Multiplayer', 'Early Access', 'Dark Fantasy']"
BombTag,"['win', '', '']",Feb,12,2018,,,,Very Positive,84,1134,"['Free to Play', 'Casual', 'Multiplayer', 'Indie', 'Strategy', 'Action']"
Aim Lab,"['win', '', '']",Feb, 7,2018,,,,Very Positive,87,3781,"['Free to Play', 'FPS', 'Simulation', 'Shooter', 'Action', 'Early Access', 'First-Person']"
Tactical Monsters Rumble Arena,"['win', 'mac', '']",Jan,31,2018,,,,Very Positive,89,4290,"['Free to Play', 'Strategy', 'RPG', 'Indie', 'Adventure', 'Multiplayer', 'Turn-Based']"
Aimtastic,"['win', '', '']",Jan,28,2018,,,,Very Positive,94,1304,"['Free to Play', 'Early Access', 'Action', 'Indie', 'FPS', 'eSports', 'Shooter']"
PickCrafter,"['win', 'mac', '']",Dec,14,2017,,,,Very Positive,83,2116,"['Clicker', 'Free to Play', 'Casual', 'Singleplayer', 'Simulation', 'Pixel Graphics', 'Crafting']"
Company of Heroes: Blitzkrieg Mod,"['win', '', '']",Nov,30,2017,,,,Very Positive,87,768,"['Strategy', 'Free to Play', 'Violent', 'Gore', 'Mod', 'World War II', 'RTS']"
Yu-Gi-Oh! Duel Links,"['win', '', '']",Nov,16,2017,,,,Very Positive,81,19257,"['Free to Play', 'Card Game', 'Strategy', 'Anime', 'Multiplayer', 'Trading Card Game', 'Singleplayer']"
CS2D,"['win', 'mac', 'linux']",Nov,15,2017,,,,Very Positive,89,6597,"['Free to Play', '2D', 'Shooter', 'Multiplayer', 'Action', 'Top-Down Shooter', 'Casual']"
World of Warships,"['win', 'mac', '']",Nov,15,2017,,,,Very Positive,81,36579,"['Naval Combat', 'Naval', 'Free to Play', 'Multiplayer', 'World War II', 'PvP', 'Military']"
Battlerite,"['win', '', '']",Nov, 8,2017,,,,Very Positive,83,52913,"['PvP', 'Multiplayer', 'Competitive', 'MOBA', 'Action', 'Free to Play', 'Arena Shooter']"
Codename CURE,"['win', 'mac', 'linux']",Oct,31,2017,,,,Very Positive,83,14808,"['Free to Play', 'Zombies', 'Multiplayer', 'Survival', 'Shooter', 'FPS', 'Co-op']"
SKYBOX VR Video Player,"['win', '', '']",Oct,24,2017,,,,Very Positive,84,263,"['Video Production', 'VR']"
Hide and Shriek,"['win', '', '']",Oct,19,2017,,,,Very Positive,82,2829,"['Multiplayer', 'Horror', 'Free to Play', 'First-Person', 'Action', 'Competitive', 'Funny']"
SAS: Zombie Assault 4,"['win', 'mac', '']",Oct,16,2017,,,,Very Positive,82,3707,"['Free to Play', 'Zombies', 'Multiplayer', 'Top-Down Shooter', 'Action', 'Co-op', 'Shooter']"
Middle-earth™: Shadow of War™,"['win', '', '']",Oct,10,2017,14.99,49.99,-70%,Very Positive,83,26603,"['Open World', 'Action', 'RPG', 'Fantasy', 'Singleplayer', 'Adventure', 'Violent']"
Doki Doki Literature Club!,"['win', 'mac', '']",Oct, 6,2017,,,,Overwhelmingly Positive,96,127766,"['Psychological Horror', 'Anime', 'Visual Novel', 'Free to Play', 'Horror', 'Cute', 'Dating Sim']"
Pinball FX3,"['win', '', '']",Sep,26,2017,,,,Very Positive,85,1673,"['Pinball', 'Simulation', 'Arcade', 'Casual', 'Free to Play', 'Multiplayer', 'Singleplayer']"
