Title,Available_OS,Month,Day,Year,Current_Price,Original_Price,Discount_Percentage,Review_Status,Percentage_Positive_Reviews,Reviewer_Count,Game_Tags
Divinity: Original Sin 2 - Definitive Edition,"['win', 'mac', '']",Sep,14,2017,22.49,44.99,-50%,Overwhelmingly Positive,95,69427,"['RPG', 'Story Rich', 'Turn-Based', 'Co-op', 'Fantasy', 'Character Customization', 'Adventure']"
Transport Defender,"['win', '', '']",Sep,11,2017,,,,Very Positive,80,325,"['Clicker', 'Free to Play', 'Casual', 'Strategy']"
TurnSignal,"['win', '', '']",Aug,28,2017,,,,Very Positive,96,277,"['Utilities', 'Software Training', 'VR']"
MINDNIGHT,"['win', 'mac', 'linux']",Aug, 4,2017,,,,Very Positive,86,2215,"['Free to Play', 'Multiplayer', 'Strategy', 'RPG', 'Mystery', 'Indie', 'Pixel Graphics']"
Unturned,"['win', 'mac', 'linux']",Jul, 7,2017,,,,Very Positive,90,373295,"['Free to Play', 'Survival', 'Zombies', 'Open World Survival Craft', 'Multiplayer', 'Open World', 'Adventure']"
Realm Grinder,"['win', 'mac', '']",Jun,15,2017,,,,Very Positive,85,4062,"['Free to Play', 'Clicker', 'Strategy', 'Pixel Graphics', 'City Builder', 'Singleplayer', 'RPG']"
Company of Heroes: Eastern Front,"['win', '', '']",Jun, 1,2017,,,,Very Positive,84,722,"['Strategy', 'Action', 'World War II', 'Free to Play', 'Multiplayer', 'Mod', 'RTS']"
Zombidle : REMONSTERED,"['win', '', '']",May,30,2017,,,,Very Positive,87,1353,"['Free to Play', 'Clicker', 'Casual', 'Indie', 'Strategy', 'Zombies', 'Funny']"
The Elder Scrolls® Online,"['win', 'mac', '']",May,22,2017,19.99,,,Very Positive,80,53537,"['RPG', 'MMORPG', 'Open World', 'Massively Multiplayer', 'Multiplayer', 'Fantasy', 'Adventure']"
Learn to Fly 3,"['win', '', '']",May,12,2017,,,,Very Positive,90,2907,"['Free to Play', 'Casual', 'Indie', 'Simulation', 'Strategy', 'Cute', 'Funny']"
Creativerse,"['win', 'mac', '']",May, 8,2017,,,,Very Positive,80,26728,"['Free to Play', 'Open World Survival Craft', 'Survival', 'Multiplayer', 'Open World', 'Building', 'Sandbox']"
Alien Swarm: Reactive Drop,"['win', '', '']",Apr,20,2017,,,,Very Positive,94,10698,"['Free to Play', 'Co-op', 'Multiplayer', 'Top-Down Shooter', 'Action', 'Aliens', 'Shooter']"
Cinderella Phenomenon - Otome/Visual Novel,"['win', 'mac', 'linux']",Apr, 5,2017,,,,Overwhelmingly Positive,96,2630,"['Free to Play', 'Visual Novel', 'Otome', 'Romance', 'Female Protagonist', 'Anime', 'Indie']"
Fallout Shelter,"['win', '', '']",Mar,29,2017,,,,Very Positive,87,32746,"['Free to Play', 'Survival', 'Base Building', 'Post-apocalyptic', 'Singleplayer', 'Simulation', 'Strategy']"
McOsu,"['win', 'mac', 'linux']",Mar,20,2017,,,,Very Positive,89,1926,"['Rhythm', 'Anime', 'Free to Play', 'Indie', 'VR', 'Music', 'Difficult']"
Estranged: Act II,"['win', 'mac', 'linux']",Mar,17,2017,,,,Very Positive,84,1074,"['Early Access', 'Adventure', 'Action', 'Indie', 'Casual', 'Horror', 'Free to Play']"
BRAIN / OUT,"['win', 'mac', 'linux']",Feb,24,2017,,,,Very Positive,81,12532,"['Free to Play', '2D', 'Shooter', 'Multiplayer', 'Pixel Graphics', 'Action', 'Massively Multiplayer']"
theHunter: Call of the Wild™,"['win', '', '']",Feb,16,2017,5.99,19.99,-70%,Very Positive,82,36085,"['Hunting', 'Open World', 'Multiplayer', 'First-Person', 'Simulation', 'Shooter', 'Adventure']"
Soda Dungeon,"['win', '', '']",Feb, 6,2017,,,,Very Positive,94,4704,"['Free to Play', 'RPG', 'Pixel Graphics', 'Casual', '2D', 'Clicker', 'Turn-Based']"
VRChat,"['win', '', '']",Feb, 1,2017,,,,Very Positive,90,49427,"['VR', 'Free to Play', 'Memes', 'Funny', 'Anime', 'Multiplayer', 'Massively Multiplayer']"
Midas Gold Plus,"['win', 'mac', '']",Feb, 1,2017,,,,Very Positive,88,1628,"['Free to Play', 'Clicker', 'Indie', 'Casual', 'Singleplayer', 'RPG', 'Adventure']"
Prominence Poker,"['win', '', '']",Dec,12,2016,,,,Very Positive,82,2922,"['Card Game', 'Free to Play', 'Simulation', 'Strategy', 'Massively Multiplayer', 'Gambling', 'Multiplayer']"
Google Earth VR,"['win', '', '']",Nov,16,2016,,,,Overwhelmingly Positive,96,2260,"['VR', 'Free to Play', 'Simulation', 'Open World', 'Casual', 'Adventure', 'Exploration']"
Crush Crush,"['win', 'mac', 'linux']",Oct,18,2016,,,,Very Positive,89,12088,"['Free to Play', 'Sexual Content', 'Nudity', 'Anime', 'Dating Sim', 'Clicker', 'Mature']"
The Jackbox Party Pack 3,"['win', 'mac', 'linux']",Oct,17,2016,24.99,,,Overwhelmingly Positive,96,1462,"['Trivia', 'Local Multiplayer', 'Casual', 'Funny', 'Board Game', 'Multiplayer', 'Indie']"
Zombie Defense,"['win', 'mac', 'linux']",Sep,30,2016,,,,Very Positive,82,1675,"['Free to Play', 'Zombies', 'Tower Defense', 'Strategy', 'Survival', 'Multiplayer', 'Action']"
The Witcher 3: Wild Hunt - Game of the Year Edition,"['win', '', '']",Aug,30,2016,14.99,49.99,-70%,Overwhelmingly Positive,98,324586,"['RPG', 'Open World', 'Story Rich', 'Atmospheric', 'Mature', 'Fantasy', 'Adventure']"
The Pirate: Caribbean Hunt,"['win', 'mac', 'linux']",Aug,24,2016,,,,Very Positive,80,3203,"['Free to Play', 'Naval Combat', 'Pirates', 'Multiplayer', 'Adventure', 'Naval', 'Strategy']"
Picross Touch,"['win', 'mac', 'linux']",Aug,24,2016,,,,Very Positive,93,848,"['Free to Play', 'Puzzle', 'Casual', 'Indie', 'Strategy', 'Singleplayer', 'Touch-Friendly']"
Mansions of Madness,"['win', 'mac', '']",Aug, 1,2016,,,,Very Positive,90,457,"['Adventure', 'Strategy', 'Board Game', 'Lovecraftian', 'Horror', 'Free to Play', 'Card Game']"
Totally Unbalanced,"['win', 'mac', '']",Jul,29,2016,,,,Very Positive,81,101,"['Racing', 'Action', 'Adventure', 'Indie', 'Casual', 'Puzzle', 'Multiplayer']"
Rec Room,"['win', '', '']",Jun,28,2016,,,,Very Positive,93,5821,"['VR', 'Free to Play', 'Multiplayer', 'Sports', 'Early Access', 'Massively Multiplayer', 'Online Co-Op']"
Descent: Road to Legend,"['win', 'mac', '']",Jun, 1,2016,,,,Very Positive,86,259,"['RPG', 'Adventure', 'Board Game', 'Co-op', 'Tabletop', 'Free to Play']"
Idling to Rule the Gods,"['win', 'mac', 'linux']",May,27,2016,,,,Very Positive,89,767,"['Indie', 'Free to Play', 'Casual', 'Clicker', 'Singleplayer', 'Anime', 'Idler']"
Stellaris,"['win', 'mac', 'linux']",May, 9,2016,39.99,,,Very Positive,83,52372,"['Space', 'Strategy', 'Grand Strategy', 'Sci-fi', '4X', 'Real-Time with Pause', 'Exploration']"
Istrolid,"['win', 'mac', 'linux']",May, 6,2016,,,,Very Positive,87,2398,"['Free to Play', 'Strategy', 'Building', 'Space', 'Multiplayer', 'Indie', 'RTS']"
Worm.is: The Game,"['win', 'mac', '']",May, 4,2016,,,,Very Positive,80,4504,"['Free to Play', 'Multiplayer', 'Casual', 'Funny', '2D', 'Strategy', 'Action']"
Bigscreen Beta,"['win', '', '']",Apr,28,2016,,,,Very Positive,86,1557,"['Simulation', 'VR', 'Utilities', 'Multiplayer']"
Bloons TD Battles,"['win', 'mac', '']",Apr,20,2016,,,,Very Positive,86,12292,"['Free to Play', 'Tower Defense', 'Strategy', 'Multiplayer', 'Action', 'Competitive', 'PvP']"
DARK SOULS III Deluxe Edition,"['win', '', '']",Apr,11,2016,84.98,,,Very Positive,92,108925,"['Dark Fantasy', 'Difficult', 'RPG', 'Atmospheric', 'Souls-like', 'Lore-Rich', 'Action']"
Lost Lands: Mahjong,"['win', 'mac', '']",Mar,14,2016,,,,Very Positive,92,4326,"['Free to Play', 'Casual', 'Adventure', 'Puzzle', 'Singleplayer']"
Star Realms,"['win', '', '']",Mar, 8,2016,,,,Very Positive,82,923,"['Deckbuilding', 'Strategy', 'Card Battler', 'Card Game', 'Board Game', 'Free to Play', 'Asynchronous Multiplayer']"
Stardew Valley,"['win', 'mac', 'linux']",Feb,26,2016,14.99,,,Overwhelmingly Positive,97,188402,"['Farming Sim', 'Life Sim', 'RPG', 'Pixel Graphics', 'Agriculture', 'Simulation', 'Relaxing']"
Shakes and Fidget,"['win', 'mac', '']",Feb,24,2016,,,,Very Positive,87,9176,"['Free to Play', 'RPG', 'Casual', 'Massively Multiplayer', 'Adventure', 'Multiplayer', 'Strategy']"
Godot Engine,"['win', 'mac', 'linux']",Feb,23,2016,,,,Overwhelmingly Positive,96,979,"['Game Development', 'Utilities', '3D', 'Free to Play', '2D', 'GameMaker', 'Software']"
Iron Snout,"['win', 'mac', 'linux']",Jan,27,2016,,,,Overwhelmingly Positive,98,15516,"['Free to Play', '2D Fighter', 'Funny', 'Action', 'Fighting', 'Gore', '2D']"
Sven Co-op,"['win', '', '']",Jan,22,2016,,,,Very Positive,92,16334,"['Free to Play', 'Co-op', 'Multiplayer', 'Action', 'FPS', 'Online Co-Op', 'Shooter']"
Fallout 4: Game of the Year Edition,"['win', '', '']",Nov,10,2015,59.99,,,Mostly Positive,73,125261,"['RPG', 'Open World', 'Post-apocalyptic', 'Singleplayer', 'FPS', 'Sandbox', 'Atmospheric']"
Endless Sky,"['win', 'mac', 'linux']",Oct,30,2015,,,,Very Positive,91,4486,"['Space', 'Free to Play', 'Open World', 'Singleplayer', 'Sci-fi', 'Simulation', 'Adventure']"
Deus Ex: Revision,"['win', '', '']",Oct,13,2015,,,,Very Positive,86,1234,"['RPG', 'Action', 'Cyberpunk', 'Mod', 'Adventure', 'FPS', 'Singleplayer']"
Crusaders of the Lost Idols,"['win', 'mac', '']",Oct,13,2015,,,,Very Positive,84,2521,"['Free to Play', 'Clicker', 'Casual', 'Indie', 'Funny', 'Singleplayer', '2D']"
ShareX,"['win', '', '']",Oct, 2,2015,,,,Overwhelmingly Positive,95,2395,"['Photo Editing', 'Utilities', 'Video Production', 'Software', 'Free to Play', 'Web Publishing', 'Design & Illustration']"
Lost Lands: A Hidden Object Adventure,"['win', 'mac', '']",Sep,24,2015,,,,Very Positive,89,4530,"['Free to Play', 'Hidden Object', 'Adventure', 'Casual', 'Puzzle', 'Singleplayer', 'Fantasy']"
SMITE®,"['win', '', '']",Sep, 8,2015,,,,Very Positive,80,60836,"['Free to Play', 'MOBA', 'Multiplayer', 'Action', 'Third Person', 'Mythology', 'Team-Based']"
Teeworlds,"['win', 'mac', 'linux']",Aug,24,2015,,,,Very Positive,88,3898,"['Free to Play', 'Multiplayer', '2D', 'Action', 'Platformer', 'Shooter', 'Indie']"
Mitos.is: The Game,"['win', 'mac', '']",Jul,29,2015,,,,Very Positive,81,11809,"['Free to Play', 'Multiplayer', 'Massively Multiplayer', 'Strategy', '2D', 'Survival', 'Funny']"
King's Quest,"['win', '', '']",Jul,28,2015,,,,Very Positive,88,2118,"['Adventure', 'Puzzle', 'Point & Click', 'Fantasy', 'Story Rich', 'Singleplayer', 'Funny']"
Spooky's Jump Scare Mansion,"['win', '', '']",Jul,28,2015,,,,Very Positive,92,10575,"['Horror', 'Free to Play', 'Cute', 'First-Person', 'Singleplayer', 'Psychological Horror', 'Indie']"
Time Clickers,"['win', 'mac', 'linux']",Jul,23,2015,,,,Very Positive,88,4639,"['Clicker', 'Free to Play', 'Casual', 'Action', 'Indie', 'Shooter', 'Singleplayer']"
Card Hunter,"['win', 'mac', '']",Jul,13,2015,,,,Very Positive,86,4056,"['Free to Play', 'Card Game', 'Tabletop', 'RPG', 'Board Game', 'Strategy', 'Turn-Based']"
Portal Stories: Mel,"['win', 'mac', 'linux']",Jun,25,2015,,,,Overwhelmingly Positive,95,12194,"['Free to Play', 'Puzzle', 'Mod', 'Singleplayer', 'First-Person', 'Adventure', 'Action']"
Tabletop Simulator,"['win', 'mac', 'linux']",Jun, 5,2015,19.99,,,Very Positive,94,13627,"['Tabletop', 'Board Game', 'Simulation', 'Multiplayer', 'Sandbox', 'Card Game', 'Physics']"
Dirty Bomb®,"['win', '', '']",Jun,Ju,2015,,,,Very Positive,80,57227,"['Hero Shooter', 'Free to Play', 'FPS', 'Multiplayer', 'Shooter', 'Action', 'Team-Based']"
The Witcher® 3: Wild Hunt,"['win', '', '']",May,18,2015,11.99,39.99,-70%,Overwhelmingly Positive,98,314583,"['Open World', 'RPG', 'Story Rich', 'Atmospheric', 'Mature', 'Fantasy', 'Adventure']"
Clicker Heroes,"['win', 'mac', '']",May,13,2015,,,,Very Positive,89,51145,"['Clicker', 'Free to Play', 'Casual', 'Singleplayer', '2D', 'Indie', 'Funny']"
Kerbal Space Program,"['win', 'mac', 'linux']",Apr,27,2015,9.99,39.99,-75%,Very Positive,92,70202,"['Space', 'Simulation', 'Sandbox', 'Physics', 'Science', 'Space Sim', 'Building']"
Blender,"['win', 'mac', 'linux']",Apr,24,2015,,,,Overwhelmingly Positive,96,11123,"['Animation & Modeling', 'Free to Play', 'Design & Illustration', 'Game Development', 'Video Production', 'Software', 'GameMaker']"
Elite Dangerous,"['win', '', '']",Apr, 2,2015,7.49,29.99,-75%,Mostly Positive,72,36575,"['Space Sim', 'Space', 'Open World', 'Exploration', 'Sci-fi', 'Simulation', 'Massively Multiplayer']"
AdVenture Capitalist,"['win', 'mac', 'linux']",Mar,30,2015,,,,Very Positive,88,42725,"['Free to Play', 'Clicker', 'Capitalism', 'Singleplayer', 'Casual', 'Management', 'Simulation']"
Half-Life 2: Update,"['win', 'mac', 'linux']",Mar,27,2015,,,,Very Positive,92,3943,"['FPS', 'Adventure', 'Sci-fi', 'Mod', 'Shooter', 'Free to Play', 'First-Person']"
Cities: Skylines,"['win', 'mac', 'linux']",Mar,10,2015,5.99,29.99,-80%,Very Positive,92,110165,"['City Builder', 'Simulation', 'Building', 'Strategy', 'Management', 'Sandbox', 'Singleplayer']"
Transformice,"['win', 'mac', '']",Jan,30,2015,,,,Very Positive,85,16039,"['Free to Play', 'Multiplayer', 'Funny', 'Massively Multiplayer', '2D', 'Platformer', 'Casual']"
Dying Light,"['win', 'mac', 'linux']",Jan,26,2015,13.59,39.99,-66%,Very Positive,94,110048,"['Zombies', 'Survival', 'Open World', 'Parkour', 'Co-op', 'Multiplayer', 'Action']"
Lambda Wars Beta,"['win', '', '']",Dec, 5,2014,,,,Very Positive,93,3674,"['Free to Play', 'Strategy', 'RTS', 'Multiplayer', 'Mod', 'Action', 'Co-op']"
Everlasting Summer,"['win', 'mac', 'linux']",Nov,19,2014,,,,Overwhelmingly Positive,95,37538,"['Visual Novel', 'Story Rich', 'Free to Play', 'Anime', 'Great Soundtrack', 'Choices Matter', 'Singleplayer']"
Double Action: Boogaloo,"['win', '', '']",Oct,23,2014,,,,Very Positive,92,10568,"['Free to Play', 'Action', 'Multiplayer', 'Shooter', 'Parkour', 'Third-Person Shooter', 'FPS']"
My Lands: Black Gem Hunting,"['win', '', '']",Sep,16,2014,,,,Very Positive,84,3263,"['Strategy', 'Free to Play', 'RTS', 'Massively Multiplayer', 'Multiplayer', 'Indie', 'Casual']"
The Expendabros,"['win', 'mac', '']",Aug, 5,2014,,,,Overwhelmingly Positive,97,16299,"['Free to Play', 'Action', 'Pixel Graphics', '2D', 'Multiplayer', 'Local Co-Op', 'Shooter']"
Of Guards And Thieves,"['win', '', '']",Jul,16,2014,,,,Very Positive,85,3565,"['Multiplayer', 'Free to Play', 'Stealth', 'Action', 'Indie', 'Co-op', 'Shooter']"
Divinity: Original Sin (Classic),"['win', 'mac', '']",Jun,30,2014,,,,Very Positive,90,7818,"['RPG', 'Turn-Based', 'Co-op', 'Fantasy', 'Adventure', 'Masterpiece', 'Strategy']"
World of Guns: Gun Disassembly,"['win', 'mac', 'linux']",May,21,2014,,,,Very Positive,82,14865,"['Free to Play', 'Simulation', 'Gun Customization', 'Shooter', 'Education', 'Singleplayer', 'Puzzle']"
Toribash,"['win', 'mac', 'linux']",May,16,2014,,,,Very Positive,88,13685,"['Free to Play', '3D Fighter', 'Fighting', 'Multiplayer', 'Physics', 'Gore', 'Action']"
Fistful of Frags,"['win', 'mac', 'linux']",May, 9,2014,,,,Very Positive,91,29208,"['Free to Play', 'FPS', 'Multiplayer', 'Western', 'Shooter', 'Action', 'First-Person']"
FINAL FANTASY XIV Online,"['win', '', '']",Feb,18,2014,19.99,,,Very Positive,86,18696,"['MMORPG', 'RPG', 'Massively Multiplayer', 'Fantasy', 'Great Soundtrack', 'JRPG', 'Open World']"
Grimm,"['win', '', '']",Jan, 6,2014,,,,Overwhelmingly Positive,97,29702,"['Indie', 'Free to Play', 'Villain Protagonist', 'Funny', 'Casual', 'Fantasy', 'Comedy']"
Just Cause 2: Multiplayer Mod,"['win', '', '']",Dec,16,2013,,,,Very Positive,86,119,"['Open World', 'Multiplayer', 'Action', 'Third-Person Shooter', 'Adventure', 'Mod', 'Sandbox']"
King Arthur's Gold,"['win', 'mac', 'linux']",Nov, 5,2013,,,,Very Positive,83,4320,"['Multiplayer', '2D', 'Action', 'Indie', 'Building', 'Pixel Graphics', 'Medieval']"
State of Decay,"['win', '', '']",Nov, 5,2013,,,,Very Positive,84,15550,"['Zombies', 'Survival', 'Open World', 'Action', 'Post-apocalyptic', 'RPG', 'Third Person']"
No More Room in Hell,"['win', '', '']",Oct,31,2013,,,,Very Positive,89,57189,"['Free to Play', 'Zombies', 'Multiplayer', 'Survival', 'Horror', 'Co-op', 'Online Co-Op']"
Path of Exile,"['win', '', '']",Oct,23,2013,,,,Very Positive,93,126610,"['Free to Play', 'Action RPG', 'Hack and Slash', 'RPG', 'Multiplayer', 'Massively Multiplayer', 'Loot']"
Arma 3,"['win', '', '']",Sep,12,2013,8.99,29.99,-70%,Very Positive,90,108443,"['Action', 'Multiplayer', 'Military', 'Simulation', 'Shooter', 'First-Person', 'Realistic']"
DCS World Steam Edition,"['win', '', '']",Aug, 2,2013,,,,Very Positive,80,10072,"['Simulation', 'Flight', 'Free to Play', 'Military', 'Multiplayer', 'Realistic', 'War']"
Cry of Fear,"['win', '', '']",Apr,25,2013,,,,Very Positive,85,27199,"['Horror', 'Free to Play', 'Multiplayer', 'Co-op', 'Survival Horror', 'Psychological Horror', 'Action']"
Arma II: DayZ Mod,"['win', '', '']",Feb,21,2013,,,,Very Positive,80,402,"['Zombies', 'Survival', 'Action', 'Multiplayer', 'Open World', 'Simulation', 'Free to Play']"
PlanetSide 2,"['win', '', '']",Nov,20,2012,,,,Very Positive,82,52023,"['Free to Play', 'Massively Multiplayer', 'FPS', 'Shooter', 'Action', 'Open World', 'Multiplayer']"
Gotham City Impostors Free to Play,"['win', '', '']",Aug,30,2012,,,,Very Positive,84,11399,"['Free to Play', 'Action', 'Multiplayer', 'Batman', 'FPS', 'Shooter', 'Superhero']"
DARK SOULS™: Prepare To Die™ Edition,"['win', '', '']",Aug,24,2012,,,,Very Positive,90,49880,"['Souls-like', 'RPG', 'Dark Fantasy', 'Difficult', 'Masterpiece', 'Action', 'Exploration']"
Awesomenauts - the 2D moba,"['win', 'mac', 'linux']",Aug, 1,2012,,,,Very Positive,84,25248,"['MOBA', 'Multiplayer', '2D', 'Platformer', 'Action', 'Indie', 'Local Co-Op']"
FEAR Complete Pack,"['win', '', '']",Jul,12,2012,13.74,54.99,-75%,Very Positive,84,11055,"['Action', 'Horror', 'FPS', 'Singleplayer', 'Shooter', 'Bullet Time', 'Gore']"
Source Filmmaker,"['win', '', '']",Jul,10,2012,,,,Very Positive,91,299,"['Animation & Modeling', 'Video Production', 'Free to Play', 'Software', 'Movie', 'Sandbox', 'Difficult']"
The Lord of the Rings Online™,"['win', 'mac', '']",Jun, 6,2012,,,,Very Positive,80,10143,"['Free to Play', 'MMORPG', 'Massively Multiplayer', 'Fantasy', 'RPG', 'Open World', 'Adventure']"
Realm of the Mad God,"['win', 'mac', '']",Feb,20,2012,,,,Very Positive,84,32783,"['Free to Play', 'Massively Multiplayer', 'Action Roguelike', 'Pixel Graphics', 'RPG', 'Perma Death', 'Multiplayer']"
Puzzle Pirates,"['win', 'mac', '']",Aug,31,2011,,,,Very Positive,80,1341,"['Free to Play', 'Massively Multiplayer', 'Puzzle', 'Casual', 'Pirates', 'Adventure', 'Strategy']"
Spiral Knights,"['win', 'mac', '']",Jun,14,2011,,,,Very Positive,83,20281,"['Free to Play', 'Massively Multiplayer', 'RPG', 'Adventure', 'Action', 'Multiplayer', 'Online Co-Op']"
Darksiders™,"['win', '', '']",Sep,23,2010,,,,Very Positive,89,6842,"['Action', 'Adventure', 'Hack and Slash', 'Third Person', 'Singleplayer', 'Post-apocalyptic', 'Fantasy']"
Alien Swarm,"['win', '', '']",Jul,19,2010,,,,Very Positive,94,334,"['Free to Play', 'Co-op', 'Action', 'Multiplayer', 'Aliens', 'Online Co-Op', 'Shooter']"
SEGA Mega Drive and Genesis Classics,"['win', 'mac', 'linux']",Jun, 1,2010,,,,Very Positive,83,2372,"['Classic', 'Retro', 'Action', 'Adventure', 'RPG', 'Casual', ""1990's""]"
"Pirates, Vikings, and Knights II","['win', 'mac', 'linux']",Feb,12,2010,,,,Very Positive,87,4956,"['Free to Play', 'Multiplayer', 'Action', 'Medieval', 'Pirates', 'Funny', 'FPS']"
BioShock® 2,"['win', '', '']",Feb, 9,2010,,,,Very Positive,88,7668,"['FPS', 'Action', 'Singleplayer', 'Atmospheric', 'Story Rich', 'Horror', 'Shooter']"
Darkest Hour: Europe '44-'45,"['win', 'mac', 'linux']",Jun, 9,2009,,,,Very Positive,88,824,"['World War II', 'FPS', 'Action', 'Multiplayer', 'War', 'Simulation', 'Shooter']"
Synergy,"['win', 'mac', 'linux']",Oct, 3,2008,,,,Very Positive,93,74,"['Free to Play', 'Co-op', 'Action', 'Mod', 'Multiplayer', 'FPS', 'Online Co-Op']"
Zombie Panic! Source,"['win', '', '']",Oct, 3,2008,,,,Very Positive,85,6578,"['Free to Play', 'Zombies', 'Multiplayer', 'Survival', 'Action', 'Horror', 'FPS']"
TrackMania Nations Forever,"['win', '', '']",Apr,16,2008,,,,Very Positive,87,11407,"['Racing', 'Free to Play', 'Automobile Sim', 'Multiplayer', 'Singleplayer', 'Level Editor', 'Arcade']"
RollerCoaster Tycoon® 3: Platinum,"['win', 'mac', '']",Mar,12,2008,,,,Very Positive,89,3423,"['Simulation', 'Management', 'Sandbox', 'Building', 'Strategy', 'Singleplayer', 'Economy']"
BioShock™,"['win', '', '']",Aug,21,2007,,,,Very Positive,94,16864,"['FPS', 'Atmospheric', 'Story Rich', 'Action', 'Singleplayer', 'Horror', 'Steampunk']"
Half-Life 2: Lost Coast,"['win', 'mac', 'linux']",Oct,27,2005,,,,Very Positive,85,7775,"['FPS', 'Action', 'Singleplayer', 'First-Person', 'Sci-fi', 'Shooter', 'Short']"
